No,Item Name,Amount
1.0,jz,10.0
2.0,gr fe,10.0
3.0,g fe,10.0
4.0,nz,10.0
5.0,az,10.0
6.0,az,10.0
7.0,kz,10.0
8.0,mz,10.0
9.0,zz,10.0
10.0,Cr 12,10.0
11.0,Hr 15,10.0
12.0,Qr 20,10.0
13.0,Mr 20,20.0
14.0,rz,10.0
15.0,Kf/ef,10.0
16.0,K6a,10.0
17.0,K12a,10.0
18.0,M13a,10.0
19.0,4A90,10.0
20.0,Y11,10.0
21.0,Rd20,10.0
22.0,K24a,10.0
23.0,Ge6,10.0
24.0,Gd1,10.0
25.0,Eo7z,10.0
26.0,B3e,10.0
